Year,Category,Arrivals_millions
2019,Visitors,35.0
2019,Tourists,26.1
2019,Excursionists,8.9
2020,Visitors,6.0
2020,Tourists,4.3
2020,Excursionists,1.8
2021,Visitors,0.0
2021,Tourists,0.0
2021,Excursionists,0.0
2022,Visitors,14.0
2022,Tourists,10.1
2022,Excursionists,4.2
2023,Visitors,29.0
2023,Tourists,20.1
2023,Excursionists,8.8
2024,Visitors,38.0
2024,Tourists,25.0
2024,Excursionists,12.9
2025,Visitors,25.0
2025,Tourists,15.5
2025,Excursionists,9.0

